id,name,emoji,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
158,folded hands,🙏,0.216806331,0.782935062,0.149576109,0.355664682,0.862856369,0.252838915,0.339197542,0.978268648,0.458590322,1.469510517
159,writing hand,✍,0.270273399,0.613364354,0.207850082,0.299615714,0.502974744,0.289059426,0.263247448,0.653644929,0.537120633,1.20948214
160,nail polish,💅,0.279779918,0.41824851,0.208436497,0.216047685,0.421824851,0.249977075,0.185327831,0.492251261,0.495369097,0.822741862
161,flexed biceps,💪,0.263816383,0.622051153,0.131763283,0.257894302,0.530824868,0.203390452,0.260661353,0.644497701,0.450891495,1.033215063
162,brain,🧠,0.202371436,0.564348521,0.153477218,0.314148681,0.516919797,0.263655742,0.268185452,0.737410072,0.519984013,1.496136424
163,eyes,👀,0.195059452,0.426264764,0.118208091,0.203579167,0.312151588,0.163871747,0.18542102,0.397989656,0.370481388,0.661158834
164,eye,👁,0.19332332,0.406463533,0.136714678,0.246753311,0.377342384,0.222176359,0.200169432,0.436043802,0.425533584,0.72380894
165,tongue,👅,0.184566324,0.445376152,0.159062721,0.162470864,0.486330005,0.145526378,0.199516712,0.393460107,0.436156791,0.787676689
166,mouth,👄,0.176017434,0.398139339,0.141948859,0.161817355,0.355559204,0.159119944,0.207308752,0.332546053,0.393485452,0.664798412
167,baby,👶,0.266466466,0.591231231,0.21973974,0.343923924,0.91029029,0.300620621,0.311231231,0.636776777,0.588388389,1.344104104
168,man,👨,0.19260415,0.635927738,0.129188485,0.246431063,0.614714377,0.225256028,0.25260753,0.732382718,0.439521113,1.276603635
169,woman,👩,0.177567235,0.605927539,0.134753057,0.254542189,0.616591734,0.243532419,0.251925253,0.698344957,0.425644459,1.238898881
170,person gesturing NO,🙅,0.296754487,0.370141276,0.205880107,0.237495227,0.301489118,0.207101947,0.148377243,0.435509737,0.549369989,0.662084765
171,person gesturing OK,🙆,0.244548556,0.435833405,0.158283259,0.251641377,0.414177132,0.212073377,0.216755242,0.463778924,0.491204785,0.750228307
172,person tipping hand,💁,0.231301052,0.473996533,0.188417833,0.221485573,0.410275542,0.225479381,0.227171269,0.524166563,0.482065758,0.812595046
