Country,Continent,City,Year,ProductPerCapita,UnemploymentRate,ImprovedWater,PhycisianDensityPer1000,InternetAccess,TrafficFatalitiesPer100k,LifeExpectancy,Under5MortalityRate,LiteracyRate,YearsOfSchooling,HomicideRate,Gini,PovertyRate,SlumHouseHolds,YouthUnemployment,CO2Emissions,VoterTurnout
Ecuador,America,Tena,2015," 12,308.14 ", 4.08 , 91.50 , 7.25 , 54.09 , 42.91 , 75.01 , 4.23 , 95.55 , 9.33 , 4.29 , 0.49 , 22.73 , 24.51 , 7.66 , 2.31 , 87.50 
Ecuador,America,Zamora,2015," 14,625.64 ", 7.92 , 93.66 , 7.43 , 65.86 , 32.29 , 75.01 , 3.41 , 96.06 , 9.91 , 16.15 , 0.49 , 13.94 , 19.40 , 7.07 , 2.31 , 83.30 
Guatemala,America,Guatemala City,2015," 7,062.53 ", 6.70 , 99.00 , 0.93 , 19.70 , 4.88 , 71.33 , 32.00 , 93.50 , 5.60 , 54.28 , 0.52 , 0.69 , 43.00 , 4.90 , 0.78 , 60.83 
Mexico,America,Aguascalientes,2015," 5,676.07 ", 3.73 , 99.51 , 4.04 , 27.92 , 5.59 , 75.57 , 11.92 , 96.94 , 10.33 , 16.29 , 0.44 , 10.28 , 3.36 , 11.74 , 3.90 , 43.70 
Mexico,America,San Francisco de los Romo,2015," 9,492.41 ", 3.26 , 99.21 , 0.72 , 8.40 , 7.71 , 75.57 , 15.91 , 94.82 , 8.06 , 35.25 , 0.39 , 18.82 , 2.94 , 9.36 , 3.90 , 52.23 
Mexico,America,Mexicali,2015," 5,484.47 ", 2.76 , 97.80 , 2.88 , 37.96 , 1.20 , 73.57 , 14.28 , 96.69 , 10.42 , 18.38 , 0.44 , 9.00 , 4.12 , 9.37 , 3.90 , 22.34 
Mexico,America,Tijuana,2015," 5,556.57 ", 3.35 , 98.30 , 2.11 , 37.98 , 2.93 , 73.57 , 15.99 , 96.72 , 10.50 , 41.50 , 0.44 , 10.44 , 5.17 , 9.42 , 3.90 , 38.22 
Mexico,America,La Paz,2015," 3,988.59 ", 2.73 , 96.96 , 4.47 , 40.88 , 5.07 , 75.82 , 14.59 , 97.27 , 11.16 , 22.97 , 0.44 , 9.34 , 8.02 , 8.52 , 3.90 , 55.21 
Mexico,America,Campeche,2015," 3,153.57 ", 1.51 , 98.41 , 5.45 , 30.14 , 3.60 , 75.01 , 14.91 , 94.55 , 10.26 , 8.15 , 0.45 , 11.34 , 12.53 , 5.28 , 3.90 , 57.10 
Mexico,America,Acuña,2015," 5,635.49 ", 3.42 , 98.62 , 2.07 , 15.57 , 10.51 , 75.22 , 16.43 , 96.65 , 8.90 , 29.09 , 0.40 , 12.68 , 7.21 , 10.71 , 3.90 , 54.89 
Mexico,America,Piedras Negras,2015," 6,290.89 ", 3.03 , 98.78 , 2.86 , 26.70 , 1.90 , 75.22 , 13.68 , 97.27 , 10.19 , 23.16 , 0.40 , 7.71 , 4.07 , 9.99 , 3.90 , 40.89 
Mexico,America,Ramos Arizpe,2015," 58,617.76 ", 2.78 , 98.93 , 1.47 , 19.84 , 4.74 , 75.22 , 14.85 , 96.37 , 10.18 , 32.43 , 0.45 , 11.65 , 1.07 , 9.41 , 3.90 , 56.84 
Mexico,America,Saltillo,2015," 8,171.12 ", 3.48 , 97.42 , 2.64 , 27.87 , 3.52 , 75.22 , 13.54 , 97.20 , 11.39 , 14.79 , 0.44 , 9.44 , 3.47 , 12.49 , 3.90 , 47.32 
Mexico,America,Torreón,2015," 9,878.72 ", 4.30 , 99.49 , 4.21 , 29.13 , 2.52 , 75.22 , 16.66 , 97.57 , 11.33 , 35.24 , 0.45 , 11.32 , 3.70 , 15.43 , 3.90 , 53.77 
Mexico,America,Colima,2015," 4,941.36 ", 2.33 , 99.83 , 8.57 , 33.64 , 1.92 , 75.62 , 13.07 , 96.19 , 10.45 , 14.50 , 0.45 , 6.62 , 4.18 , 7.29 , 3.90 , 60.98 
Mexico,America,Manzanillo,2015," 5,120.57 ", 1.90 , 96.27 , 3.72 , 25.91 , 11.45 , 75.62 , 9.33 , 94.96 , 10.65 , 18.53 , 0.46 , 7.45 , 7.85 , 5.53 , 3.90 , 55.81 
Mexico,America,Tecomán,2015," 2,062.77 ", 1.41 , 98.50 , 3.25 , 12.71 , 1.66 , 75.62 , 16.88 , 89.49 , 7.23 , 32.55 , 0.40 , 11.65 , 14.59 , 3.65 , 3.90 , 56.22 
Mexico,America,Villa de Álvarez,2015," 1,766.77 ", 2.27 , 99.92 , 0.72 , 36.76 , 5.32 , 75.62 , 9.15 , 97.55 , 11.60 , 12.64 , 0.44 , 5.58 , 2.48 , 6.10 , 3.90 , 58.96 
Mexico,America,Berriozábal,2015, 687.40 , 1.23 , 66.84 , 0.48 , 5.42 , 2.07 , 72.47 , 14.77 , 82.31 , 6.79 , 56.76 , 0.45 , 39.15 , 99.33 , 2.53 , 3.90 , 55.82 
