OBS,changetreasury
1983M09,-1.719690456
1983M10,-1.312335958
1983M11,1.15248227
1983M12,1.139351446
1984M01,-1.473136915
1984M02,1.495162709
1984M03,4.159445407
1984M04,2.911813644
1984M05,6.467259499
1984M06,2.353834472
1984M07,-1.557863501
1984M08,-4.446119066
1984M09,-1.1829653
1984M10,-3.750997606
1984M11,-6.053067993
1984M12,-2.294792586
1985M01,-1.264679313
1985M02,1.829826167
1985M03,3.504043127
1985M04,-4.427083333
1985M05,-6.08537693
1985M06,-7.156673114
1985M07,1.041666667
1985M08,1.134020619
1985M09,0
1985M10,-1.22324159
1985M11,-4.231166151
1985M12,-5.926724138
1986M01,-0.572737686
1986M02,-3.917050691
1986M03,-10.55155875
1986M04,-5.495978552
1986M05,6.666666667
1986M06,1.595744681
1986M07,-7.591623037
1986M08,-3.682719547
1986M09,1.764705882
1986M10,-1.300578035
1986M11,-1.02489019
1986M12,-1.331360947
1987M01,-0.449775112
1987M02,2.259036145
1987M03,0
1987M04,11.48748159
1987M05,9.114927345
1987M06,-2.905569007
1987M07,-0.124688279
1987M08,3.870162297
1987M09,7.451923077
1987M10,1.565995526
1987M11,-8.039647577
1987M12,1.19760479
1988M01,-3.195266272
1988M02,-5.745721271
1988M03,1.556420233
1988M04,4.597701149
1988M05,4.761904762
1988M06,-1.048951049
1988M07,2.002355713
1988M08,3.233256351
1988M09,-2.796420582
1988M10,-2.071346375
1988M11,3.290246769
1988M12,3.412969283
1989M01,0.660066007
1989M02,1.31147541
1989M03,2.588996764
1989M04,-2.208201893
1989M05,-4.193548387
1989M06,-6.958473625
1989M07,-5.548854041
1989M08,3.320561941
1989M09,0.988875155
1989M10,-2.447980416
1989M11,-2.007528231
1989M12,-0.768245839
1990M01,4.774193548
1990M02,3.694581281
1990M03,2.137767221
1990M04,1.976744186
1990M05,-0.342075257
1990M06,-3.546910755
1990M07,-1.18623962
1990M08,1.320528211
1990M09,0.829383886
1990M10,-2.115158637
1990M11,-3.721488595
1990M12,-3.6159601
1991M01,-0.388098318
1991M02,-2.987012987
1991M03,4.016064257
1991M04,-0.900900901
1991M05,0
1991M06,3.116883117
1991M07,-0.377833753
1991M08,-6.068268015
1991M09,-3.903095559
1991M10,-3.781512605
1991M11,-3.639010189
1991M12,-6.495468278
1992M01,0.807754443
1992M02,5.448717949
1992M03,5.623100304
1992M04,-2.446043165
1992M05,-1.327433628
1992M06,-3.139013453
1992M07,-9.87654321
1992M08,-4.109589041
1992M09,-3.928571429
1992M10,4.089219331
1992M11,7.857142857
1992M12,0.662251656
1993M01,-4.111842105
1993M02,-6.861063465
1993M03,-4.419889503
1993M04,-1.156069364
1993M05,1.364522417
1993M06,0.384615385
1993M07,-2.490421456
1993M08,-1.178781925
1993M09,-5.964214712
1993M10,-0.422832981
1993M11,7.430997877
1993M12,1.778656126
1994M01,-1.165048544
1994M02,6.090373281
1994M03,10
1994M04,9.764309764
1994M05,3.987730061
1994M06,-1.179941003
1994M07,3.134328358
1994M08,-0.434153401
1994M09,2.906976744
1994M10,4.519774011
1994M11,4.324324324
1994M12,0.777202073
1995M01,-0.257069409
