Start_Date,End_Date,Duration_Seconds,Book_Cost,Texts_Day,Lefty,Wakeup_Saturday,Workout_Week,Perceived,Superpower,Sleep,Songs_Playlist,Recover_Energy
1/25/23 14:06,1/25/23 14:07,77,100,20,No,11:00 AM,5,Kind,Time Travel,Like a great deal,30,Going out with friends and having social interactions.
1/25/23 14:06,1/25/23 14:07,86,175,9,No,9:00 AM,3,Kind,Fly,Like somewhat,100,Going out with friends and having social interactions.
1/25/23 14:06,1/25/23 14:08,105,120,14,No,9:00 AM,3,Kind,Shape Shifter,Like a great deal,25,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 14:06,1/25/23 14:08,98,120,6,No,10:00 AM,4,Kind,Fly,Neither like nor dislike,20,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 14:06,1/25/23 14:08,75,100,4,No,9:00 AM,4,Kind,Time Travel,Dislike a great deal,50,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 14:06,1/25/23 14:08,94,140,10,No,10:00 AM,3,Attractive,Time Travel,Like somewhat,100,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 14:07,1/25/23 14:08,99,70,10,No,12:00 PM,4,Attractive,Time Travel,Like a great deal,453,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 14:06,1/25/23 14:08,145,120,16,No,10:00 AM,0,Kind,Time Travel,Like a great deal,150,Going out with friends and having social interactions.
1/25/23 14:06,1/25/23 14:09,155,120,10,No,12:00 PM,3,Kind,Time Travel,Like a great deal,100,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 12:54,1/25/23 14:21,5209,50,9,Yes,10:00 AM,4,Kind,Time Travel,Like somewhat,30,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 14:06,1/25/23 14:22,966,50,10,No,10:00 AM,6,Kind,Shape Shifter,Like a great deal,NA,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 14:25,1/25/23 14:27,77,120,18,No,11:00 AM,6,Smart,Fly,Like somewhat,200,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 14:06,1/25/23 14:32,1529,0,20,No,1:00 PM,0,Kind,Shape Shifter,Like somewhat,50,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 14:32,1/25/23 14:34,62,120,5,No,10:00 AM,4,Kind,Time Travel,Like a great deal,20,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 14:06,1/25/23 16:06,7192,90,7,No,10:00 AM,1,Kind,Shape Shifter,Dislike somewhat,32,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 16:26,1/25/23 16:28,86,100,0,No,5:30 AM,6,Kind,Super Strength,Dislike a great deal,300,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 16:29,1/25/23 16:31,83,150,0,No,2:00 PM,3,Smart,Time Travel,Like somewhat,"1,000","Staying home. Reading, playing a video game, or browsing my phone."
1/26/23 10:21,1/26/23 10:22,48,100,5,No,11:00 AM,0,Kind,Fly,Like somewhat,50,"Staying home. Reading, playing a video game, or browsing my phone."
